Discount ${discount} For All Orders Over ${price}, Zbritja ${discount} Për Të Gjitha Porositë Mbi ${price}
Please select, Ju lutem zgjidhni
The page you requested does not exist., Faqja që kërkoni nuk ekziston.
Continue shopping, Vazhdoni blerjen
404 Page Not Found, 404 Faqja Nuk U Gjet
Home, Kryefaqja
Not found, Nuk u gjet
Disable, Çaktivizo
Disabled, Çaktivizuar
Enable, Aktivizo
Enabled, Aktivizuar
Delete, Fshije
Add, Shto
Product, Produkti
Quantity, Sasia
Price, Çmimi
Total, Totali
Subtotal, Nëntotali
Cancel, Anulo
Save, Ruaj
selected, të zgjedhur
Status, Statusi
From, Nga
To, Deri
Settings, Cilësimet
